playerID,gameID,prolificID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,pretestCardShownAt,pretestStartedAt,pretestSubmittedAt,trainingStartedAt,roundsInactive,exitStepDone,handoff_stage,pretest_advanced_at,pretest_wait_secs,handoff_secs,age,gender,strategy,enjoy,feedback,education,gamefailed,sawIntro,ai_used,ai_tool,ai_agreed
01M0XEWYY70E7AF4NMGH9FGS3V,01M0XEP3V3T2RJX1S58T7Z1N3B,6a1b5c3118af715c312efcc9,1.23,1.23,matcher,270,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,34,female ,"Once we got into a rhytmn we picked up each others ideas for shapes which made it easier and quicker to identify the right shapes. we used common language, ","Yses, it was exciting to know how they;d describe it ",,master,NA,NA,NA,NA,FALSE
01M0XEQS1Y61NYBS2B9X56Y7HM,01M0XEBKS2G948HDY26TVYK1X9,6a01521c28d64ac367f8fa55,1.38,1.38,director,180,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,37,male,it got easier as we went on remembering names for objects. I tried to make it easy as possible for partner i'm pretty good at this game.,yes we got almost everyone right,no comments,high-school,NA,NA,NA,NA,FALSE
01M0XERQP1ZQ8ZKRV6F98VE778,01M0XEBFYZ40VDCCZ70PM6EWHK,66cdfebcb908ea2717d06b6c,1.35,1.35,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,26,Female,I looked at the real objects they resembled and described it based on that.,Yes it was interesting knowing their vision of each object and guessing based on their hint,,bachelor,NA,NA,NA,NA,FALSE
01M0XEY6K6WQC3AV5JQQ7N3PQV,01M0XEP3TSE5MTCHYTC004C3XD,6a1cc036937e109155f17cb1,0.96,0.96,matcher,270,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,46,female ,perfect ,yes,thanks,high-school,NA,NA,NA,NA,FALSE
01M0XEQNJ9809PHWDZ742E11VG,01M0XEBJH60M51NVP8EGS7231S,65055af809999c0ee7cee26d,1.2,1.2,director,180,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,31,Female,Understand my partner's way of describing it.,"Yes, we learned from each other.",,master,NA,NA,NA,NA,FALSE
01M0XER9CN1N4H5AFH0XVE2HCE,01M0XEBKS0ZEFNX9SMQDQW2PZ4,66929a6a268ccf0d6fce0d52,0.99,0.99,director,180,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,69,female,tried to work out words they used,yes but wished it wa spoken as type too slowly,,high-school,NA,NA,NA,NA,FALSE
01M0XESRDHZJ3M6V0HK46Z1NMP,01M0XEBHF9Z6MD8PTP8NQ2PV26,6143af8721d1445864c4f6c8,1.38,1.38,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,54,Male,Did my best to describe to and understand my partner.,Yes we did pretty good.,No problems.  All good.,high-school,NA,NA,NA,NA,FALSE
01M0XEV0BNWNTXTPRPMD1Q49AC,01M0XEBKS0ZEFNX9SMQQNF9DE2,67d94f701307ac0887c44909,0,0,director,180,NA,FALSE,game ended,4,4,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,31,male,n/a,not really,no,bachelor,NA,NA,NA,NA,FALSE
01M0XEWA7BAAWDQ522KTVPV3DJ,01M0XEBKS0ZEFNX9SMQQNF9DE2,69fc82781ffa298db04922fd,0,0,matcher,180,NA,FALSE,game ended,4,4,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,41,male,it was cool,yes regarding the pictures displayed,yes the loading was slow,master,NA,NA,NA,NA,FALSE
01M0XER6FPF3N9GKNC8JSYE9M7,01M0XEBJH4G5D0NKPXZ6BYKGS7,69ab8364e157c061ca63d825,1.35,1.35,director,180,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,2,,,,,,NA,NA,NA,NA,FALSE
01M0XERNMK293CWHFMH4HQ05K1,01M0XEBHFGJ74MNH9PTVJNK0S2,6328ddce9adceb215c2334ee,1.29,1.29,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,33,Male,It was to find the shortest identifier of an image because typing a big long descriptor is confusing.,I loved it because we started to find common words to describe an image. ,N/A,high-school,NA,NA,NA,NA,FALSE
01M0XES5Y1NQT19B2QBEJ1SE2V,01M0XEBHFAZN8J8K9QJ4PMADCV,67ddbba0fa5e1ce984f9fb87,1.05,1.05,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,39,female,i discovered the small patterns that could help,"yes, the helped me figure out the patterns with their description",none,bachelor,NA,NA,NA,NA,FALSE
01M0XESCE3HXZW59M8QA45SWJ1,01M0XEBHF9Z6MD8PTP8NQ2PV26,627a76b96bea55210aecbba9,1.38,1.38,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,35,Female,Keep it simple and adapted to use the same descriptions as my partner so we found it easier to understand each other.,"Yes, because we understood each other quickly.",N/A,high-school,NA,NA,NA,NA,FALSE
01M0XETP6D3XSFZBQ5WADKGAKB,01M0XF36KWD2V63CQAR2NCREVC,6630f2a2c5912d7f4d93938b,NA,NA,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0XF1AW05AX3PDCQ9PWGAR99,01M0XEBJH60M51NVP8EGS7231S,6446839f023ba8de55365437,1.2,1.2,matcher,180,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,23,female,be as synthetic and repeat how he described it ,yes,nothing thanks,master,NA,NA,NA,NA,FALSE
01M0XFAABN80PXS2BWF8STD8RQ,null,69fcd499fd111c8f70a1a41a,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,nogame,TRUE,NA,NA,FALSE
01M0XERWA6XTSFFEAXHF1XTBP1,01M0XEBKS2G948HDY26TVYK1X9,69137ce487ad8fc2193bcb12,1.38,1.38,matcher,180,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,61,male,relate shapes in human terms,"seemed like a nice person, didn't really get to know them, but we had a little back and forth that was pleasant ","seems pretty straightforward, and fun. I quite enjoyed myself. Thank you",high-school,NA,NA,NA,NA,FALSE
01M0XEX8ATRQ9G1A1T9FCE8VQM,01M0XEP3TXK5Z02SVJR2VASG8P,69e544b78967c6b1c14d2035@email.prolific.com,1.2,1.2,director,270,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,44,male,describe clear,yes easy to work with,none,high-school,NA,NA,NA,NA,FALSE
01M0XFGKS364T502MY6BASRSP2,01M0XEP3TXK5Z02SVJR2VASG8P,667db9548bb4a257a3bc04fc,1.2,1.2,matcher,270,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,24,Female,Describing shapes in a way that someone outside of myself could picture what I was describing,"yes, it was interactive which made it interesting",my partner took a few rounds to start chatting in the chatbox,high-school,NA,NA,NA,NA,FALSE
01M0XEQXM9M74Y1X1MWHARYCDC,01M0XEBFYW1G5QWYVD4F1CEJQ3,6a0aca55e6a25f8ce99ddc7c,1.38,1.38,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,21,Male,Be fast and descriptive,"I didn't mind, it dragged a bit",No feedback,bachelor,NA,NA,NA,NA,FALSE
01M0XEREZ46CDWNZWM86P2TTE7,01M0XEBHFGJ74MNH9PTVJNK0S2,6156fef09d1ab07148870099,1.29,1.29,director,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,49,female,try and descibe and add shapes and left or right side,yes fun seeing if i could see what they were describing,none,bachelor,NA,NA,NA,NA,FALSE
01M0XERQ8TV5N8Y3NVYKQG5TNE,01M0XEBJH4G5D0NKPXZ6BYKGS7,5c3fa8f562ada90001275f5e,1.35,1.35,matcher,180,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,31,Female,Be brief to allow for clarification and stick to previous terms,"Yes, they helpful and quick to summarise",,master,NA,NA,NA,NA,FALSE
01M0XES69GNPHVSPMR1TVP4HAR,01M0XEBKS0ZEFNX9SMQDQW2PZ4,63d7b1a77e23b5460ab88069,0.99,0.99,matcher,180,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,31,male,try to use easy to understand terms,"no, they were terrible in describing things",,master,NA,NA,NA,NA,FALSE
01M0XETGWM5RF9ZVRZXVQJA69R,01M0XF36KPEANMAA2FHR330CGB,6a1759a83da9f4ed875b332d,1.32,1.32,matcher,270,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,37,male,"I used concise visual descriptions by focusing on distinctive features, for easy recognition","Yes, It was very engaging ",,bachelor,NA,NA,NA,NA,FALSE
01M0XEW4XVCD53BQGS5F5TWC4E,01M0XEBFYZ40VDCCZ70PM6EWHK,662d7fba32d6a738b194d893,1.35,1.35,matcher,90,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,30,Male,I was trying to describe the shapes and simply as possible so my partner would understand quickly.,"Yes, we were on the same page and I was able to understand the majority of their descriptions.",I enjoyed the study and had no issues.,other,NA,NA,NA,NA,FALSE
01M0XG1SHFTPXHER0CRZRE7NND,01M0XF36M6BHF932A0YJY07K5X,6551469abe377d3646c6cd6e,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M0XETPA4APE5RG3CX52WNZAV,01M0XEP3TSE5MTCHYTC004C3XD,67803b5508f3d995ef13696b,0.96,0.96,director,270,TRUE,TRUE,game ended,4,4,NA,NA,NA,NA,0,TRUE,never_reached_pretest,NA,NA,NA,57,female,To say what I imagined and not try to describe the shapes themselves.,"Once my partner understood how to play, I enjoyed it a lot, we got into a rhythm. ",I didn't have any issues.,bachelor,NA,NA,NA,NA,FALSE
