playerID,gameID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,pretestCardShownAt,pretestStartedAt,pretestSubmittedAt,trainingStartedAt,roundsInactive,exitStepDone,handoff_stage,pretest_advanced_at,pretest_wait_secs,handoff_secs,age,gender,strategy,enjoy,feedback,education,endedWhy,endedWhyOther,gamefailed,sawIntro,ai_used,ai_tool,ai_agreed
01M214C6Z85CZDH1N1HARPXC77,01M20X13PJV655EHMJRF5XR4PG,0.45,0.45,matcher,180,NA,FALSE,game ended,4,4,1788892336002,1788892343662,1788892549010,1788892627021,5,NA,entered_training,1788892627682,78.672,-0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214DJPXN2G9KF7M584ZNJA7,01M20X12WDNRHQCMYC0R9VEVHQ,0,0,director,90,NA,FALSE,game ended,4,4,1788892672036,1788892697610,1788893531516,1788893533439,0,TRUE,entered_training,1788893531516,0,1.923,43,female,say what i saw,no they didn't respond/play,,high-school,partner-stopped,,NA,NA,none,,TRUE
01M215AVP11B8QPDVCJRC6C334,01M215K1RCENCVM87G4759AF5H,1.38,1.38,matcher,0,TRUE,TRUE,game ended,4,4,1788893403575,1788893418160,1788894426979,1788894428090,0,TRUE,entered_training,1788894426979,0,1.111,42,female,Find a common easy description for each shape,"Yes, it was fun. I had a good partner.",None,other,NA,NA,NA,NA,none,,TRUE
01M20XW9BF9HJ5QA1N7YCTN8ZM,01M20WZK57NAX0A8X7B3WNHQN9,1.41,1.41,director,0,TRUE,TRUE,game ended,4,4,1788885772645,1788885785714,1788886266525,1788886267046,0,TRUE,entered_training,1788886266525,0,0.521,38,Female,"Started describing what the shapes actually looked like, ie Eagle, Snakes",I really enjoyed it!,"Great study, thank you",high-school,NA,NA,NA,NA,none,,TRUE
01M20YBFRV130QQ80KNGVG6Q30,null,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214DGSKEJ8ZAHQ4WC2E0G7N,01M20X11N5A2NXXZZPJ1AXFSW6,1.38,1.38,director,90,TRUE,TRUE,game ended,4,4,1788892261522,1788892272480,1788892430552,1788892431118,0,TRUE,entered_training,1788892430552,0,0.566,39,Female,I tried to attribute the shapes to every day obects,I loved it!,Sometimes the loading was slow,bachelor,NA,NA,NA,NA,none,,TRUE
01M21569Y0RK1B1KAXYKBVZA95,01M215K1RCENCVM87G4759AF5H,1.38,1.38,director,0,TRUE,TRUE,game ended,4,4,1788893404626,1788893416112,1788894039879,1788894429175,0,TRUE,entered_training,1788894426979,387.1,2.196,55,female,Short and sweet after we figured out a shorter description,"Yes, we worked well together and had fun.",No problems. Very fun game.,other,NA,NA,NA,NA,none,,TRUE
01M20XWQ0GDTRYQJGMWVAJFYND,01M20X11N8F7DPTR5329TXEJ69,0,0,matcher,0,NA,FALSE,game ended,4,4,NA,NA,NA,NA,5,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M2154HBQMMKX5AJ9BGZ61E13,01M20X175HY3CRCTEMGHN0JEQ3,1.41,1.41,director,270,TRUE,TRUE,game ended,4,4,1788893365916,1788893375651,1788893775774,1788893776750,0,TRUE,entered_training,1788893775774,0,0.976,39,female,Describing shapes or image likeness and once it was guessed correctly by the other using that same reference.,I had so much fun because I think we really did a good job getting the answers correct. Only one wrong one was selected. we worked well as a team.,"No problems encountered, thank you!",bachelor,NA,NA,NA,NA,none,,TRUE
01M2156K7QTNRYHY4BTF9XK016,01M20X14TW6FQW067YRK6RNDKN,1.23,1.23,matcher,90,TRUE,TRUE,game ended,4,4,1788893118910,1788893123450,1788893578453,1788893687547,0,TRUE,entered_training,1788893685758,107.305,1.789,37,male,got use to what each other ment threw trialm and error,yeh they where quick and consistaent with desciption,no problems really really enjoyed this ,high-school,NA,NA,NA,NA,none,,TRUE
01M20X6CEXP7W9NTPEWK7QNX8Z,01M20WZK596SFHM9YDB6TD7NK1,1.17,1.17,director,180,TRUE,TRUE,game ended,4,4,1788885320534,1788885484987,1788885948147,1788885948298,0,TRUE,entered_training,1788885948147,0,0.151,47,female,just described the shapes I saw,"yes, friendly and we worked well together",,bachelor,NA,NA,NA,NA,none,,TRUE
01M20YFWSW201KBFQ9VJEWCE3F,01M20X0YW80CVJTXB8KR0PJ9Z8,0,0,director,0,NA,FALSE,game ended,4,4,1788886201296,1788886210311,1788886956927,1788886957177,0,TRUE,entered_training,1788886956927,0,0.25,65,Male,Give the easiest description that could be easily followed.,I would have loved playing with a partner. Seems in would have been a lot of fun.,My partner did not play. ,bachelor,partner-stopped,I answered everything and never received a response from my partner. ,NA,NA,none,,TRUE
01M214CEQK5BQH1Z1J11PQVC16,01M20X148VH9T6HPBHADHZGVW4,1.2,1.2,director,270,TRUE,TRUE,game ended,4,4,1788892651571,1788892659456,1788892945178,1788892945689,0,TRUE,entered_training,1788892945178,0,0.511,62,female,kept is simple,Yes,no problems....just a little slow loading at the beginning,bachelor,NA,NA,NA,NA,none,,TRUE
01M214GQP567MDSZQ9APVX5ZFF,01M20X0YW742ZY2EX5FCQ61EFA,0,0,matcher,0,NA,FALSE,game ended,4,4,1788892423594,1788892450768,1788893450243,NA,NA,TRUE,stuck_at_handoff,1788893450243,0,NA,55,male,"I tried to describe each shape briefly while focusing on small distinguishing features.
","I didn't really get a chance to play with my partner because the session ended early.
","The matching portion disconnected before it started, so I couldn't complete the game.
",master,never-started,"I finished Part 1, but the game disconnected before I could play with my partner.

",NA,NA,none,,TRUE
01M20Y7KTG16QCRZCK67K4YDTR,01M20WZK57NAX0A8X7B3WNHQN9,1.41,1.41,matcher,0,TRUE,TRUE,game ended,4,4,1788885772902,1788885776463,1788885933027,1788886267124,0,TRUE,entered_training,1788886266525,333.498,0.599,37,Female,"Tried to figure out what would be the easiest way to describe the shape. After a while, we both were calling things the same thing, the eagle, the frog, the dog, the mountain, wolverine etc","Yes, they were a lot of fun and we seemed to understand each other well","Really liked this game, thanks so much!!",bachelor,NA,NA,NA,NA,none,,TRUE
01M214EQ4FACEB4DB1G63HBRYM,01M20X0YW4S4FB44B5GCQBDAXT,0,0,director,90,NA,FALSE,game ended,4,4,1788892241506,1788892247094,1788892450792,1788892451102,0,TRUE,entered_training,1788892450792,0,0.31,21,male,using keywords,nope they weren't there at all,,other,partner-stopped,,NA,NA,none,,TRUE
01M21546HN9E95PWNR6ZWTAMM2,01M20X148Y8KBRQFNJTS9AKRW4,1.44,1.44,director,90,TRUE,TRUE,game ended,4,4,1788893077736,1788893091296,1788893867008,1788893936530,0,TRUE,entered_training,1788893936072,69.064,0.458,65,Male,"I tried to be concise, but also use some of the words my partner used, to make it easier for them.","Yes, they gave good hints, and they understood my hints.","Good study, no problems.",master,NA,NA,NA,NA,none,,TRUE
01M21557T3YDBSX3GT1DB1X6ZD,01M20X15T7F67D04XT463JKFRX,1.41,1.41,matcher,180,TRUE,TRUE,game ended,4,4,1788893175499,1788893182462,1788893412028,1788893457038,0,TRUE,entered_training,1788893440258,28.23,16.78,39,male,Describe familiar objects that could be made with shapes,"Yes, it worked well",None.,bachelor,NA,NA,NA,NA,none,,TRUE
01M2155XGQN2NYYVH2DPKKTYKD,null,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nogame,TRUE,NA,NA,TRUE
01M215FK0ZT4PGXXVV13WRHJPB,01M20X14TTKZWGB70XGMAFRR2H,1.29,1.29,matcher,0,TRUE,TRUE,game ended,4,4,1788893735437,1788893758484,1788894911827,1788894914537,0,TRUE,entered_training,1788894911827,0,2.71,31,Male,Describing unique features in the object different from the others.,I enjoyed it. i got to learn how my partner described his target shapes over time.,I did not encounter any problems. The survey was well composed.,bachelor,NA,NA,NA,NA,none,,TRUE
01M214C29BTAAYH03KHSYPYBMR,01M20X12WH32MX7V56M1SN262T,1.41,1.41,matcher,180,TRUE,TRUE,game ended,4,4,1788892288087,1788892296923,1788892510591,1788892592754,0,TRUE,entered_training,1788892594033,83.442,-1.279,49,Male,I tried to describe the object using every day things I could compare it to. ,"Yes, my partner did a good job describing. After describing a few, we came up with shorter descriptions for the objects we encountered more than once. ","The page did glitch  a few times, and I had to refresh the page a few times because of this. I could have missed a few, because the page all of a sudden had a white screen with ""circle"" spinning in middle. It did resolve after refreshing the page though. ",high-school,NA,NA,NA,NA,none,,TRUE
01M214C73WD84FZC09J8EC4573,01M20X12WDNRHQCMYC0R9VEVHQ,0,0,matcher,90,NA,FALSE,game ended,4,4,1788892678452,1788892687015,NA,NA,5,NA,stuck_in_pretest,1788893531516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214ERNYBYY3EBY90CCRQDQJ,01M20X11N5A2NXXZZPJ1AXFSW6,1.38,1.38,matcher,90,TRUE,TRUE,game ended,4,4,1788892260400,1788892269945,1788892403541,1788892429956,0,TRUE,entered_training,1788892430552,27.011,-0.596,48,female,I tried to describe what the shape looked like and then if the other person had a better description I started using that and then we started using short descriptions as we got more familiar,yes they were enjoyable since they were quick and described things well,sometimes the screen was slow to load,master,NA,NA,NA,NA,none,,TRUE
01M2159JAWAFEZB1KH9W5K5DTC,01M215K2BSVQ6X8DX5GH1YZX6B,1.41,1.41,matcher,0,TRUE,TRUE,game ended,4,4,1788893406384,1788893416312,1788894092809,1788894520164,0,TRUE,entered_training,1788894518563,425.754,1.601,49,Female,"didnt have a strategy, but once we got into the rhythm, we quite quickly figured out an easy way of describing the pictures that we both understood","yes, it was good fun and we seemed to understand each other quite well",,other,NA,NA,NA,NA,none,,TRUE
01M20YD36D9GBWB9F2CSWYDDZG,01M20WZK5AY7SPG9YB2GY60XCH,0,0,matcher,0,NA,FALSE,game ended,4,4,1788885988440,1788885997430,1788886432407,1788886432579,1,TRUE,entered_training,1788886432407,0,0.172,45,Male,Try to break down each image into its simplest parts or most recognizable feature - and also separate from other images.,I would have enjoyed playing if my partner was active.,,master,partner-stopped,I offered descriptions when I was asked but my partner never participated.,NA,NA,none,,TRUE
01M20YQWJYNA2MEME27ZW87E1G,01M20X11N8F7DPTR5329TXEJ69,0,0,director,0,NA,FALSE,game ended,4,4,NA,NA,NA,NA,5,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M2153SDRH4EZ5F2YRG65W4Z9,01M20X16AD7EKSEGH5WBVM39Q0,1.35,1.35,director,270,TRUE,TRUE,game ended,4,4,1788893309619,1788893317243,1788894133623,1788894135263,0,TRUE,entered_training,1788894133623,0,1.64,38,Female,"I tried to think creatively about how to describe the shapes. I often used animal analogies or compared things to houses or factories which seemed to work well. I tried to keep explanations simple and straightforward. When I had been playing with my partner for a while, I could use very brief descriptions and felt confident they would guess it. Similarly, as we played longer I rarely had to ask follow-up questions because I instantly knew the shape. When describing things in rounds 1 and 2, I tended to use longer descriptions to ensure it was clear and distinguishable from the other shapes I was describing. ","Yes, this was very enjoyable, particularly as we played for longer and developed a bit of a 'short hand'. At first I felt a bit rushed and like I was occasionally guessing or didn't have enough time to describe but as it went on I felt more confident in both roles and our descriptions to each other seemed to work well. I also found that their descriptions helped me think of different ways to describe things, so it improved my creativity. It was satisfying to  improve our performance as we went on because we had become more efficient. ",No problems encountered. This was a really engaging and enjoyable study! ,master,NA,NA,NA,NA,none,,TRUE
01M2154QPBTEQ4FE8D65KC2SJY,01M20X14TW6FQW067YRK6RNDKN,1.23,1.23,director,90,TRUE,TRUE,game ended,4,4,1788893117848,1788893140282,1788893685758,1788893686517,0,TRUE,entered_training,1788893685758,0,0.759,25,female,"I described mostly shape in plain terms like spikey, open, closed etc","yes it was fun, we both got each other vobes super quick.",no problems on my end.,bachelor,NA,NA,NA,NA,none,,TRUE
01M2154T01JJAXZD005VWMS05B,01M20X12WE7PPHA7JSTZZ2E6FT,1.35,1.35,matcher,0,TRUE,TRUE,game ended,4,4,1788893028702,1788893059896,1788893333196,1788893766403,0,TRUE,entered_training,1788893767953,434.757,-1.55,35,Female,I tried to adjust myself to my partner's way of wording,It was okay working with them. I think I could have worked faster alone.,n/a,bachelor,NA,NA,NA,NA,none,,TRUE
01M2154ZTHXBQJKATYE1J19T6S,null,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nogame,TRUE,NA,NA,TRUE
01M20YEZPY4YD17Q43C82WMQ6Y,01M20WZK5AY7SPG9YB2GY60XCH,0,0,director,0,NA,FALSE,game ended,4,4,1788885989296,1788885998049,NA,NA,5,NA,stuck_in_pretest,1788886432407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214BMCZJJXFK1Z0ZWEAR1TP,01M20X15B8K1NH0RPDWMSPXGK3,NA,NA,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M2155PH51FH1Y7QSBY0YCPQ8,01M20X16AD7EKSEGH5WBVM39Q0,1.35,1.35,matcher,270,TRUE,TRUE,game ended,4,4,1788893309584,1788893311519,1788893630146,1788894134659,0,TRUE,entered_training,1788894133623,503.477,1.036,26,non binary,We started copying each other's words,"Yes, they picked it up easily ",nope,high-school,NA,NA,NA,NA,none,,TRUE
01M214E3AZ6Y0RHEASN5NQEEJN,01M20X13PJV655EHMJRF5XR4PG,0.45,0.45,director,180,NA,FALSE,game ended,4,4,1788892336955,1788892347826,1788892627682,1788892627976,0,TRUE,entered_training,1788892627682,0,0.294,28,female,Describing multiple shapes within the shape and what it generally looked like to help the other participant.,"Yes, it was fun to see what the other player believed a certain shaped look like.",Only what I already described in the other response.,high-school,partner-stopped,"The study seemed to start lagging/ performing slowly, then was stuck on a loading screen for a minute or so even with refreshing the page at one point. Then it started back in with the last response and my partner stopped responding.",NA,NA,none,,TRUE
01M2154DWP90GJTQWXRS6MXPZN,null,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M2154MFSP4VTTH1ZQNHW7C0J,01M20X15T7F67D04XT463JKFRX,1.41,1.41,director,180,TRUE,TRUE,game ended,4,4,1788893175500,1788893186833,1788893440258,1788893457060,0,TRUE,entered_training,1788893440258,0,16.802,39,female,learning what my partner used to describe certain pics so i could describe them back if i had to describe the same picture.,Yes it was alot of fun! The game moved fast and we did great.,none,high-school,NA,NA,NA,NA,none,,TRUE
01M21567THKMHSR683ZH4K0TNA,01M20X15BBYTN3YPSFQGJ5ZXF5,1.35,1.35,matcher,180,TRUE,TRUE,game ended,4,4,1788893165474,1788893178953,1788894161695,1788894165858,0,TRUE,entered_training,1788894161695,0,4.163,18,Male,"I just understood the shapes, especially the top and bottom bases. That was easy to describe. Also, the shapes.",I enjoyed a lot. He was brief and knew what we were doing.,I enjoyed the study.,high-school,NA,NA,NA,NA,none,,TRUE
01M20Y26N7SA31ADF47PGRSASY,01M20X15B57MQKH9DSF6JVYF47,NA,NA,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M20YGVWYARZ695AWDNJ9TT2P,01M20X11N92ZFWXFVKY2CVEME8,0,0,matcher,90,NA,FALSE,game ended,4,4,NA,NA,NA,NA,5,NA,never_reached_pretest,1788887451328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214B2QXNXHT36NT5SBC6ZXT,01M20X0YW742ZY2EX5FCQ61EFA,0,0,director,0,NA,FALSE,game ended,4,4,1788892423368,NA,NA,NA,NA,TRUE,stuck_on_pretest_card,1788893450243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214PMGV2W0E0MG6FCTN05EB,01M20X148Y8KBRQFNJT9HAMJT5,0.81,0.81,matcher,180,TRUE,TRUE,game ended,4,4,1788893296758,1788893320761,1788894765422,1788894769151,0,TRUE,entered_training,1788894765422,0,3.729,31,Male,Focusing on the unique part,"Yes, its was enjoyable",smooth,bachelor,NA,NA,NA,NA,none,,TRUE
01M2154MN76WHSRHJG8SAKSTFM,01M20X12WE7PPHA7JSTZZ2E6FT,1.35,1.35,director,0,TRUE,TRUE,game ended,4,4,1788893031372,1788893068536,1788893767953,1788893768957,0,TRUE,entered_training,1788893767953,0,1.004,34,female,"try and match the shapes to an object people are familar with, i.e dragons tail, bat wings etc",yes they were very good at explaining the shapes,i stupidly said the wrong direction on shapes!,bachelor,NA,NA,NA,NA,none,,TRUE
01M2154WW2P4K99Z7DMFPGK6JN,01M215M9N7M1Y02J02DK7JKTQA,0,0,director,90,NA,FALSE,game ended,4,4,1788893455453,1788893518930,NA,NA,NA,NA,stuck_in_pretest,1788894170818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214JN3YRRY4RAVQ10A1MK5E,01M20X13PNQ3DCXFM6ND825C25,0.87,0.87,director,90,TRUE,TRUE,game ended,4,4,1788892794220,1788892806599,1788893361949,1788893457768,0,TRUE,entered_training,1788893448983,87.034,8.785,59,man,just to describe the object,it lasts a little longer so gets boring,none,bachelor,NA,NA,NA,NA,none,,TRUE
01M2154JXMHS9BTWF8FWDE7774,01M20X148Y8KBRQFNJTS9AKRW4,1.44,1.44,matcher,90,TRUE,TRUE,game ended,4,4,1788893078223,1788893091838,1788893936072,1788893936962,0,TRUE,entered_training,1788893936072,0,0.89,30,Male,Describing as exactly and precisely as possible every time.,I did. We were in sync and got each trial correct.,No issues.,bachelor,NA,NA,NA,NA,none,,TRUE
01M21552Z3FC5ZE6SYNEHHVAW4,01M20X15BBYTN3YPSFQGJ5ZXF5,1.35,1.35,director,180,TRUE,TRUE,game ended,4,4,1788893145856,1788893158560,1788893477382,1788894143986,0,TRUE,entered_training,1788894161695,684.313,-17.709,28,female,keep simple and repeat the easy defining features,"yes, we managed to communicate similarly and well","you repeated the same shapes again and again in the partner part of the game (maybe this was intentional) compared to parts 1 and 3 which had more range of shapes, it made part 2 boring as was describing the same few shapes again and again",master,NA,NA,NA,NA,none,,TRUE
01M2155MC6J0812SQJXPD0BW51,null,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M20XSN3R16DSBXVRQKQSS665,01M20WZK596SFHM9YDB6TD7NK1,1.17,1.17,matcher,180,TRUE,TRUE,game ended,4,4,1788885320945,1788885331507,1788885554646,1788885948748,0,TRUE,entered_training,1788885948147,393.501,0.601,28,Male,"Learn design like Z, L or triangles to describe it and recall it. To use in what say. ",Yes they did good worked well we got over $1 in bonus. ,No trouble would do again was fun liked it. ,bachelor,NA,NA,NA,NA,none,,TRUE
01M214AY9SMBAC3FWH0EN358MB,01M20X12WH32MX7V56M1SN262T,1.41,1.41,director,180,TRUE,TRUE,game ended,4,4,1788892289922,1788892299760,1788892594033,1788892594457,0,TRUE,entered_training,1788892594033,0,0.424,21,Female,describe an object that the shapes looked like.,It was very easy to communicate with my partner.,minor connection issues during some of the rounds.,high-school,NA,NA,NA,NA,none,,TRUE
01M214C4QNBNJ9JQSE7YJ5TDCV,01M20X14TPRK3E5KMRXWZZW19Q,1.02,1.02,matcher,90,TRUE,TRUE,game ended,4,4,1788893244073,1788893250738,1788893368971,1788894024880,0,TRUE,entered_training,1788893368971,0,655.909,34,female,I titled my head a lot to the side to understand the shapes better. I also begin to pick up on what my partner was seeing and vice versa. We kind of pinged off of each other as the rounds went on.,"I actually did. As I mentioned in the strategy question, as my partner and I went on, we begin to pick up off of each other and what we were seeing. It was excellent teamwork.","I encountered no problems. I quite enjoyed this, although tedious.",high-school,NA,NA,NA,NA,none,,TRUE
01M214DZ3N8JPJ1Z6KSP8PYNZQ,01M20X148Y8KBRQFNJT9HAMJT5,0.81,0.81,director,180,TRUE,TRUE,game ended,4,4,1788893299814,1788893310069,1788894228460,1788894771032,0,TRUE,entered_training,1788894765422,536.962,5.61,48,Male,Going from top to bottom describing the shapes. Sometimes I'd replace the name of the shape with an item it looks like.,"No, because they were really slow, didn't describe enough, and would be absent from several trials. Either they don't speak English, are slow thinkers, or it's AI.",It wasn't clear to me in the beginning I had to start chat to see his chat.,high-school,NA,NA,NA,NA,none,,TRUE
01M21549E1T7PGG1H0FCWWP74Z,01M20X13PPQ56SF2D1TXYZ1GT1,1.38,1.38,director,0,TRUE,TRUE,game ended,4,4,1788893060418,1788893066686,1788893976791,1788894230241,0,TRUE,entered_training,1788894229210,252.419,1.031,36,Male,Identify unique features to describe. Adapt to partner's wording to identify features.,"Didn't get any first message, but otherwise was very enjoyable and we began to use each other's wording to identify.",No issues beyond no first chat.,bachelor,NA,NA,NA,NA,none,,TRUE
01M2154GMTS5QXW0308RG5M742,null,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M214P0SMCPMD4G6CRK6QKHYR,01M20X13PNQ3DCXFM6ND825C25,0.87,0.87,matcher,90,TRUE,TRUE,game ended,4,4,1788892793098,1788892801310,1788893448983,1788893456766,0,TRUE,entered_training,1788893448983,0,7.783,55,F,Basic description because it takes to long to count actual sides etc. ,"Yes, but I felt the partner on purpose was slow or did not answer. ","No problems, just the partner seemed like AI because did not know barn shape...or was exceptionally slow. ",master,NA,NA,NA,NA,none,,TRUE
01M2154P1EJW4QYGH77ZY8V300,01M20X175HY3CRCTEMGHN0JEQ3,1.41,1.41,matcher,270,TRUE,TRUE,game ended,4,4,1788893367804,1788893376035,1788893739026,1788893778694,0,TRUE,entered_training,1788893775774,36.748,2.92,34,female,describe shapes or animal look alikes,yes they were great only got 1 wrong.,"no problems, it was a fun task to do.",high-school,NA,NA,NA,NA,none,,TRUE
