id,batchID,batchIDLastChangedAt,chat,director,chatLastChangedAt,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JGZ23THG3GTCNSRY675B8WPS,01JGZ1J1RQ9RJWEWNQW6SZWDX9,2025-01-07T00:19:57.618467096Z,"[{""text"":""diamond"",""sender"":{""id"":""01JGZ1Z8415GTZE2EWB2MHN6P2"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""ok"",""sender"":{""id"":""01JGZ1SZ21EGZFNGNZ5JZRQVEV"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",01JGZ1Z8415GTZE2EWB2MHN6P2,2025-01-07T00:37:01.963419797Z,TRUE,2025-01-07T00:37:06.306801358Z,TRUE,2025-01-07T00:37:06.257390104Z,01JGZ1J1S9HRZETTFT0YBZ9QYK,2025-01-07T00:19:57.618467096Z,36,2025-01-07T00:19:57.618467096Z,65,2025-01-07T00:19:57.618467096Z,2,2025-01-07T00:19:57.618467096Z,4,2025-01-07T00:19:57.618467096Z,/tangrams/359_305.png,2025-01-07T00:37:06.306801358Z,2,2025-01-07T00:19:58.533972343Z,TRUE,2025-01-07T00:36:53.257952721Z,"[""/tangrams/207_216.png"",""/tangrams/402_159.png"",""/tangrams/359_305.png"",""/tangrams/299_71.png""]",2025-01-07T00:19:57.618467096Z,/tangrams/359_305.png,2025-01-07T00:19:57.618467096Z,5,2025-01-07T00:19:57.618467096Z,36,2025-01-07T00:19:57.618467096Z
01JGZ3BKRSSTANVHKPWGERHZN7,01JGZ1HQ2ACP5KAXQKEVQPZFA0,2025-01-07T00:41:41.401520005Z,"[{""text"":""simliar to the capital letter e"",""sender"":{""id"":""01JGZ35EM7WTF6KRT67SJC6CXQ"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",01JGZ35EM7WTF6KRT67SJC6CXQ,2025-01-07T00:43:25.693627755Z,TRUE,2025-01-07T00:43:36.817722625Z,TRUE,2025-01-07T00:43:36.539974464Z,01JGZ1HQ3BXW69RFKVBQ3Y8K4V,2025-01-07T00:41:41.401520005Z,1,2025-01-07T00:41:41.401520005Z,65,2025-01-07T00:41:41.401520005Z,0,2025-01-07T00:41:41.401520005Z,4,2025-01-07T00:41:41.401520005Z,/tangrams/349_52.png,2025-01-07T00:43:36.817722625Z,2,2025-01-07T00:41:43.691467117Z,TRUE,2025-01-07T00:42:56.397789036Z,"[""/tangrams/349_52.png"",""/tangrams/83_260.png"",""/tangrams/334_178.png"",""/tangrams/436_356.png""]",2025-01-07T00:41:41.401520005Z,/tangrams/349_52.png,2025-01-07T00:41:41.401520005Z,2,2025-01-07T00:41:41.401520005Z,1,2025-01-07T00:41:41.401520005Z
01JGZ4PA8FS6HAMBQKTZAXBS3N,01JGZ3FW0DTMTAGQ58VA8P6MEE,2025-01-07T01:05:00.687424771Z,,,,,,FALSE,2025-01-07T01:05:00.687424771Z,01JGZ3FW5F9PB6GEQ6P3RC6MSC,2025-01-07T01:05:00.687424771Z,20,2025-01-07T01:05:00.687424771Z,65,2025-01-07T01:05:00.687424771Z,1,2025-01-07T01:05:00.687424771Z,4,2025-01-07T01:05:00.687424771Z,,,2,2025-01-07T01:05:11.809068074Z,FALSE,2025-01-07T01:05:00.687424771Z,"[""/tangrams/454_121.png"",""/tangrams/25_203.png"",""/tangrams/349_314.png"",""/tangrams/119_1.png""]",2025-01-07T01:05:00.687424771Z,/tangrams/119_1.png,2025-01-07T01:05:00.687424771Z,5,2025-01-07T01:05:00.687424771Z,20,2025-01-07T01:05:00.687424771Z
01JGZ2F5D9HTTBVZQBWQ36MHAA,01JGZ1JTF0VX78WKWJN6R8GA1B,2025-01-07T00:26:09.193737863Z,"[{""text"":""down left"",""sender"":{""id"":""01JGZ1VPDVF3N9XVYQKWC5VSR0"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",01JGZ1VPDVF3N9XVYQKWC5VSR0,2025-01-07T00:34:54.221253561Z,FALSE,2025-01-07T00:35:41.391258027Z,TRUE,2025-01-07T00:35:40.713636133Z,01JGZ1JTFN1FD5A54BCQMJHBNZ,2025-01-07T00:26:09.193737863Z,11,2025-01-07T00:26:09.193737863Z,65,2025-01-07T00:26:09.193737863Z,0,2025-01-07T00:26:09.193737863Z,4,2025-01-07T00:26:09.193737863Z,/tangrams/75_348.png,2025-01-07T00:35:41.391258027Z,2,2025-01-07T00:26:09.969227585Z,TRUE,2025-01-07T00:34:38.101536402Z,"[""/tangrams/143_212.png"",""/tangrams/240_373.png"",""/tangrams/75_348.png"",""/tangrams/389_248.png""]",2025-01-07T00:26:09.193737863Z,/tangrams/240_373.png,2025-01-07T00:26:09.193737863Z,12,2025-01-07T00:26:09.193737863Z,11,2025-01-07T00:26:09.193737863Z
01JGZ26EJJ40G5M9J7N8SA3NMJ,01JGZ1J4W56VM27P6SXN8FAEF4,2025-01-07T00:21:23.666646503Z,"[{""text"":""triangle base and top"",""sender"":{""id"":""01JGZ1ZY5F3WYAK7V5DZWPSGQD"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""."",""sender"":{""id"":""01JGZ1SAB2MDGX7YH93HRH7DSB"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",01JGZ1ZY5F3WYAK7V5DZWPSGQD,2025-01-07T00:59:04.541324318Z,TRUE,2025-01-07T01:00:05.51372873Z,TRUE,2025-01-07T01:00:02.95270785Z,01JGZ1J4WKTCRGQS8R8HDNJ96R,2025-01-07T00:21:23.666646503Z,46,2025-01-07T00:21:23.666646503Z,65,2025-01-07T00:21:23.666646503Z,2,2025-01-07T00:21:23.666646503Z,4,2025-01-07T00:21:23.666646503Z,/tangrams/63_272.png,2025-01-07T01:00:05.51372873Z,2,2025-01-07T00:21:25.158631541Z,TRUE,2025-01-07T00:58:21.059399749Z,"[""/tangrams/415_272.png"",""/tangrams/63_61.png"",""/tangrams/63_272.png"",""/tangrams/415_61.png""]",2025-01-07T00:21:23.666646503Z,/tangrams/63_272.png,2025-01-07T00:21:23.666646503Z,15,2025-01-07T00:21:23.666646503Z,46,2025-01-07T00:21:23.666646503Z
01JGZ2H5F9Z60CNS7EYNC6RR02,01JGZ1J1RQ9RJWEWNQW6SZWDX9,2025-01-07T00:27:14.793752401Z,,,,,,FALSE,2025-01-07T00:27:14.793752401Z,01JGZ1J1SBA646C45Q9V7SKXN9,2025-01-07T00:27:14.793752401Z,59,2025-01-07T00:27:14.793752401Z,65,2025-01-07T00:27:14.793752401Z,3,2025-01-07T00:27:14.793752401Z,4,2025-01-07T00:27:14.793752401Z,,,2,2025-01-07T00:27:17.031672214Z,FALSE,2025-01-07T00:27:14.793752401Z,"[""/tangrams/368_149.png"",""/tangrams/456_8.png"",""/tangrams/25_141.png"",""/tangrams/184_97.png""]",2025-01-07T00:27:14.793752401Z,/tangrams/184_97.png,2025-01-07T00:27:14.793752401Z,12,2025-01-07T00:27:14.793752401Z,59,2025-01-07T00:27:14.793752401Z
01JGZ2MQMRCHFCNYZFWY21XF0D,01JGZ1J1RQ9RJWEWNQW6SZWDX9,2025-01-07T00:29:11.704821662Z,,,,,,FALSE,2025-01-07T00:29:11.704821662Z,01JGZ1J1SAQ65EVEEREPVNZ6VV,2025-01-07T00:29:11.704821662Z,57,2025-01-07T00:29:11.704821662Z,65,2025-01-07T00:29:11.704821662Z,3,2025-01-07T00:29:11.704821662Z,4,2025-01-07T00:29:11.704821662Z,,,2,2025-01-07T00:29:14.482848756Z,FALSE,2025-01-07T00:29:11.704821662Z,"[""/tangrams/118_57.png"",""/tangrams/118_334.png"",""/tangrams/18_57.png"",""/tangrams/18_334.png""]",2025-01-07T00:29:11.704821662Z,/tangrams/118_57.png,2025-01-07T00:29:11.704821662Z,10,2025-01-07T00:29:11.704821662Z,57,2025-01-07T00:29:11.704821662Z
01JGZ2MQP2XHHVTCV08PGAT3J2,01JGZ1J1RQ9RJWEWNQW6SZWDX9,2025-01-07T00:29:11.746230624Z,,,,,,FALSE,2025-01-07T00:29:11.746230624Z,01JGZ1J1SAQ65EVEEREPVNZ6VV,2025-01-07T00:29:11.746230624Z,54,2025-01-07T00:29:11.746230624Z,65,2025-01-07T00:29:11.746230624Z,3,2025-01-07T00:29:11.746230624Z,4,2025-01-07T00:29:11.746230624Z,,,2,2025-01-07T00:29:14.340196991Z,FALSE,2025-01-07T00:29:11.746230624Z,"[""/tangrams/18_334.png"",""/tangrams/118_57.png"",""/tangrams/118_334.png"",""/tangrams/18_57.png""]",2025-01-07T00:29:11.746230624Z,/tangrams/18_334.png,2025-01-07T00:29:11.746230624Z,7,2025-01-07T00:29:11.746230624Z,54,2025-01-07T00:29:11.746230624Z
01JGZ3H0D1HS6SZ9RARZXBFXQB,01JGZ1HQ2ACP5KAXQKEVQPZFA0,2025-01-07T00:44:38.177252471Z,"[{""text"":""describe"",""sender"":{""id"":""01JGZ32DCV7YZ7BJF3XRYGK165"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""M shape next to a star"",""sender"":{""id"":""01JGZ346ABTAYG44HB9S1PX67R"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",01JGZ346ABTAYG44HB9S1PX67R,2025-01-07T01:12:41.465821281Z,TRUE,2025-01-07T01:13:00.653478764Z,TRUE,2025-01-07T01:13:00.563769817Z,01JGZ1HQ3BXW69RFKVC55KXV7B,2025-01-07T00:44:38.177252471Z,24,2025-01-07T00:44:38.177252471Z,65,2025-01-07T00:44:38.177252471Z,1,2025-01-07T00:44:38.177252471Z,4,2025-01-07T00:44:38.177252471Z,/tangrams/253_432.png,2025-01-07T01:13:00.653478764Z,2,2025-01-07T00:44:42.971787394Z,TRUE,2025-01-07T01:12:04.376498942Z,"[""/tangrams/12_227.png"",""/tangrams/12_432.png"",""/tangrams/253_432.png"",""/tangrams/253_227.png""]",2025-01-07T00:44:38.177252471Z,/tangrams/253_432.png,2025-01-07T00:44:38.177252471Z,9,2025-01-07T00:44:38.177252471Z,24,2025-01-07T00:44:38.177252471Z
01JGZ3ZPBV8236DKDQAT52YPCB,01JGZ1HQ2ACP5KAXQKEVQPZFA0,2025-01-07T00:52:39.419383957Z,"[{""text"":""Sail boat."",""sender"":{""id"":""01JGZ3JVRYF6NH3RSEDXMAK58V"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",01JGZ3JVRYF6NH3RSEDXMAK58V,2025-01-07T01:28:25.075891585Z,TRUE,2025-01-07T01:28:31.754955735Z,TRUE,2025-01-07T01:28:31.640095335Z,01JGZ1HQ3D5SE9KTKE87QW9STN,2025-01-07T00:52:39.419383957Z,61,2025-01-07T00:52:39.419383957Z,65,2025-01-07T00:52:39.419383957Z,3,2025-01-07T00:52:39.419383957Z,4,2025-01-07T00:52:39.419383957Z,/tangrams/30_337.png,2025-01-07T01:28:31.754955735Z,2,2025-01-07T00:52:53.509432859Z,TRUE,2025-01-07T01:28:17.874102007Z,"[""/tangrams/132_63.png"",""/tangrams/45_457.png"",""/tangrams/30_337.png"",""/tangrams/176_75.png""]",2025-01-07T00:52:39.419383957Z,/tangrams/30_337.png,2025-01-07T00:52:39.419383957Z,14,2025-01-07T00:52:39.419383957Z,61,2025-01-07T00:52:39.419383957Z
01JGZ25S1QVGJZE7V5TRVMK9FG,01JGZ1J6QFQZJ1HAP3QKP7EGZG,2025-01-07T00:21:01.623935754Z,"[{""text"":""open mouth like a car drive thru, garage"",""sender"":{""id"":""01JGZ21Z3AX6J8A76HN69MCSPH"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",01JGZ21Z3AX6J8A76HN69MCSPH,2025-01-07T00:31:12.080625762Z,TRUE,2025-01-07T00:31:25.548453842Z,TRUE,2025-01-07T00:31:25.501342725Z,01JGZ1J6QX7N1Q5REWV6S61X60,2025-01-07T00:21:01.623935754Z,18,2025-01-07T00:21:01.623935754Z,65,2025-01-07T00:21:01.623935754Z,1,2025-01-07T00:21:01.623935754Z,4,2025-01-07T00:21:01.623935754Z,/tangrams/343_13.png,2025-01-07T00:31:25.548453842Z,2,2025-01-07T00:21:02.277423909Z,TRUE,2025-01-07T00:30:53.510104586Z,"[""/tangrams/343_13.png"",""/tangrams/289_418.png"",""/tangrams/47_308.png"",""/tangrams/139_165.png""]",2025-01-07T00:21:01.623935754Z,/tangrams/343_13.png,2025-01-07T00:21:01.623935754Z,3,2025-01-07T00:21:01.623935754Z,18,2025-01-07T00:21:01.623935754Z
01JGZ2H5EHN8GGK003TNMK8RY9,01JGZ1J1RQ9RJWEWNQW6SZWDX9,2025-01-07T00:27:14.769233168Z,,,,,,FALSE,2025-01-07T00:27:14.769233168Z,01JGZ1J1SBA646C45Q9V7SKXN9,2025-01-07T00:27:14.769233168Z,53,2025-01-07T00:27:14.769233168Z,65,2025-01-07T00:27:14.769233168Z,3,2025-01-07T00:27:14.769233168Z,4,2025-01-07T00:27:14.769233168Z,,,2,2025-01-07T00:27:16.812735875Z,FALSE,2025-01-07T00:27:14.769233168Z,"[""/tangrams/21_258.png"",""/tangrams/311_332.png"",""/tangrams/218_465.png"",""/tangrams/12_139.png""]",2025-01-07T00:27:14.769233168Z,/tangrams/21_258.png,2025-01-07T00:27:14.769233168Z,6,2025-01-07T00:27:14.769233168Z,53,2025-01-07T00:27:14.769233168Z
