playerID,gameID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,pretestCardShownAt,pretestStartedAt,pretestSubmittedAt,trainingStartedAt,roundsInactive,exitStepDone,handoff_stage,pretest_advanced_at,pretest_wait_secs,handoff_secs,age,gender,strategy,enjoy,feedback,education,endedWhy,endedWhyOther,ai_used,ai_tool,ai_agreed
01M1HPBN2SV6B80X5PJVE5YE3K,01M1HNZ4BH9CEPKJB2WK1FF6FZ,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M1HP9G5PDM6XA36KNN0DFAZJ,01M1HNZ669FEBMMFEN8CY4CN59,NA,NA,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
01M1HP9VFD4XR4JMG6Y4DWDHD7,01M1HNZ66BCC5C4CZAZZWHY7T3,1.26,1.26,director,0,TRUE,TRUE,game ended,4,4,1788374551973,1788374568811,1788374731131,1788374936515,0,TRUE,entered_training,1788374937815,206.684,-1.3,49,male,say shapes or what it looked like,partner seemed like an AI,none,high-school,NA,NA,none,,TRUE
01M1HPA9TPVS7WN8P6T2G1W2HR,01M1HNZK6HB8AMTV47EJ1Q8XDP,1.44,1.44,director,270,TRUE,TRUE,game ended,4,4,1788374193419,1788374205843,1788374554349,1788374554666,0,TRUE,entered_training,1788374554349,0,0.317,33,Male,I tried to describe shapes as either actual things or tried to seclude shapes so it was easier for the other person to understand. ,Yes I did! They were very good and quick at explaining. They also had a sense of humour which was great and made it more enjoyable. ,All good! ,high-school,NA,NA,none,,TRUE
01M1HPDTQ6DQF1KFQDNT7DPSJD,01M1HNZK6DPR4P92Y2T8F5XDRV,1.29,1.29,matcher,270,TRUE,TRUE,game ended,4,4,1788374511116,1788374528575,1788375369951,1788375370189,0,TRUE,entered_training,1788375369951,0,0.238,68,Male,I tried to describe what it looked like to me in terms that another would understand.,I enjoyed this very much. The time flew by quickly.,I didn't experience any problems with the survey.,bachelor,NA,NA,none,,TRUE
01M1HPRFFS08JGYEYQ2663GBG4,01M1HNZ6677RWDEVPFK38R4HBH,1.23,1.23,matcher,0,TRUE,TRUE,game ended,4,4,1788374698245,1788374706588,1788375058889,1788375443865,0,TRUE,entered_training,1788375444123,385.234,-0.258,31,Female,To see how my partner would describe the shapes and use that to describe them back to them.,"Yes, it was interesting getting to know how they describe the shapes.","No problems, was a fun study.",high-school,NA,NA,none,,TRUE
01M1HP98VHD99F2PCDA37RKBQ7,01M1HNZFMDENM6D0TD5PFJYWRC,1.38,1.38,director,270,TRUE,TRUE,game ended,4,4,1788374179685,1788374184719,1788374550379,1788374571676,0,TRUE,entered_training,1788374567311,16.932,4.365,32,Male,"I would first try to describe the shape as a commonly know item or noun. If I didn't see that, I would describe the shapes that stuck out.",I did! I think we understood each others instructions very well! They did a great job describing and guessing! ,Everything was great for me! Thank you very much!!,bachelor,NA,NA,none,,TRUE
01M1HPC3N3BVQ1SZRGJQGY5ZS5,01M1HNZK6HB8AMTV47EJ1Q8XDP,1.44,1.44,matcher,270,TRUE,TRUE,game ended,4,4,1788374192792,1788374198499,1788374376485,1788374554130,0,TRUE,entered_training,1788374554349,177.864,-0.219,24,male,Finding codewords to associate with shapes and stuff.,"Yeah, they were very human and fun to play with. They understood the assignment well.",N/A no problems,bachelor,NA,NA,none,,TRUE
01M1HPEGZ59WYJCVNCVZ6XX90P,01M1HNZ7HDN6NT9ENNGGR9B8JJ,NA,NA,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M1HPHKT60J7WMHXSWM7ZMT2Z,01M1HNZ6677RWDEVPFK38R4HBH,1.23,1.23,director,0,TRUE,TRUE,game ended,4,4,1788374699390,1788374731988,1788375444123,1788375445489,0,TRUE,entered_training,1788375444123,0,1.366,39,Male,Detaching each shape by itself. ,Very much. I trusted my partner and they gave the best descriptions. ,None,bachelor,NA,NA,none,,TRUE
01M1HP9FMWGKKR4F1ZX039Z0A2,01M1HNZFMDENM6D0TD5PFJYWRC,1.38,1.38,matcher,270,TRUE,TRUE,game ended,4,4,1788374176898,1788374185730,1788374567311,1788374568892,0,TRUE,entered_training,1788374567311,0,1.581,38,Female,"I tried to find shapes that were unique or immediately stood out to me as special or eye-catching. If my partner had a better description, though, I switched to that - and when we could find a shape that looked like something in life, we tried to stick to that or one particular shape that was unique.","I really enjoyed it. They were smart and quick, and they were able to describe shapes like actual figures which helped a lot. We both messed up once, so I didn't feel as bad for my mess up! They were friendly and we caught on with each other quickly and we both seemed to care about playing the game.","N/A, no problems!",high-school,NA,NA,none,,TRUE
01M1HP9SA626S2K4ZTXAJ11MCC,01M1HNZFMBG6JCPAHH8MQHWYV4,1.41,1.41,matcher,270,TRUE,TRUE,game ended,4,4,1788374269786,1788374283090,1788374858956,1788374859481,0,TRUE,entered_training,1788374858956,0,0.525,51,female,try to be simple,yes-they're imaginative,,master,NA,NA,none,,TRUE
01M1HPA154BP985TBAEA8N74S5,01M1HNZ66BCC5C4CZAZZWHY7T3,1.26,1.26,matcher,0,TRUE,TRUE,game ended,4,4,1788374553691,1788374564646,1788374937815,1788374938234,0,TRUE,entered_training,1788374937815,0,0.419,49,Male,"trying to use animals and human, shape descriptions",my partner was very rude after a while,fun study,high-school,NA,NA,none,,TRUE
01M1HPM3V1NZVEQ27MAFCP8V3D,01M1HNZ669FEBMMFEN8CY4CN59,NA,NA,NA,NA,NA,NA,lobby timed out,NA,NA,NA,NA,NA,NA,NA,TRUE,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M1HQQNZW6FD2T89WZ691BFN5,01M1HNZ669FEBMMFEN8CY4CN59,NA,NA,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,NA,NA,never_reached_pretest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
01M1HP97WG9TE403VJRZNNM0DT,01M1HNZFMBG6JCPAHH8MQHWYV4,1.41,1.41,director,270,TRUE,TRUE,game ended,4,4,1788374268882,1788374277612,1788374816866,1788374858399,0,TRUE,entered_training,1788374858956,42.09,-0.557,38,Male,To come up with common naming conventions for each kind of shape and keep using the same name so we end up both using it.,"Enjoyable at first, especially developing the naming scheme for the shapes but it was too easy in the end because the shapes did not change much.",,high-school,NA,NA,none,,TRUE
